X.mOTUs2_clade	reSRR9320187	reSRR9320188	reSRR9320191	reSRR9320192	reSRR9320193	reSRR9320194	reSRR9320195	reSRR9320196	reSRR9320197	reSRR9320198	reSRR9320199
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria order incertae sedis	0.0143933431	0.0264475975	0	0.0267152771	0.0329015526	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria order incertae sedis|f__Betaproteobacteria fam. incertae sedis	0.0143933431	0.0264475975	0	0.0267152771	0.0329015526	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria order incertae sedis|f__Betaproteobacteria fam. incertae sedis|g__Betaproteobacteria gen. incertae sedis	0.0143933431	0.0264475975	0	0.0267152771	0.0329015526	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria order incertae sedis|f__Betaproteobacteria fam. incertae sedis|g__Betaproteobacteria gen. incertae sedis|s__Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_64_23	0.0143933431	0.0264475975	0	0.0267152771	0.0329015526	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.0432493321	0.0272177591	0	0.0420377223	0.0543488915	0.0680928232	0.0302594894	0.0158604713	0.011453834	0.0234972878	0.0532669776
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae	0	0	0	0	0	0	0.0033142598	0.0084342564	0.011453834	0.0234972878	0.0280020545
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Bordetella	0	0	0	0	0	0	0.0033142598	0.0084342564	0.011453834	0.0234972878	0.0280020545
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Bordetella|s__Bordetella sp. FB-8	0	0	0	0	0	0	0.0033142598	0.0084342564	0.011453834	0.0234972878	0.0280020545
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	0.0191921189	0	0	0	0.0131377727	0.0340464116	0.0097250544	0	0	0	0.0121659218
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia	0.0191921189	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia sp.	0.0191921189	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Pandoraea	0	0	0	0	0	0	0	0	0	0	0.0121659218
